mat,periodo,freq,semestre
3,1,0,2012.1
6,1,6,2003.1
9,1,1,2003.1
12,1,6,2003.1
15,1,6,2003.1
18,1,4,2003.1
21,1,0,2003.1
24,1,6,2003.1
27,1,4,2003.1
30,1,6,2003.1
33,1,6,2003.1
36,1,6,2003.1
39,1,6,2003.1
42,1,5,2003.1
45,1,6,2003.1
48,1,6,2003.1
51,1,6,2003.1
54,1,6,2003.1
57,1,6,2003.1
60,1,6,2003.1
63,1,6,2003.1
66,1,6,2003.1
69,1,6,2003.1
72,1,5,2003.1
75,1,4,2003.1
78,1,6,2003.1
81,1,6,2009.2
84,1,6,2009.2
87,1,6,2005.1
90,1,6,2005.2
93,1,6,2005.1
96,1,6,2005.1
99,1,6,2005.1
102,1,6,2005.1
105,1,6,2005.1
108,1,0,2008.1
111,1,6,2008.1
114,1,6,2008.1
117,1,6,2008.1
120,1,6,2008.1
123,1,6,2008.1
126,1,6,2008.1
129,1,6,2008.1
132,1,6,2008.1
135,1,6,2008.1
138,1,6,2008.1
141,1,6,2008.1
144,1,6,2008.1
147,1,6,2008.1
150,1,6,2008.1
153,1,6,2008.1
156,1,6,2008.1
159,1,6,2008.1
162,1,6,2008.1
165,1,3,2008.1
168,1,6,2008.1
171,1,6,2008.1
174,1,6,2008.1
177,1,6,2008.1
180,1,6,2002.1
183,1,6,2002.1
186,1,6,2002.1
189,1,6,2002.1
192,1,6,2002.1
195,1,6,2002.1
198,1,6,2002.1
201,1,6,2002.1
204,1,6,2002.1
207,1,6,2002.1
210,1,6,2002.1
213,1,6,2002.1
216,1,6,2002.1
219,1,6,2002.1
222,1,6,2002.1
225,1,6,2002.1
228,1,6,2009.1
231,1,6,2009.1
234,1,6,2005.2
237,1,6,2006.1
240,1,6,2006.1
243,1,0,2012.2
246,1,0,2011.2
249,1,0,2011.2
252,1,5,2008.2
255,1,6,2008.2
258,1,5,2008.2
261,1,6,2008.2
264,1,6,2008.2
267,1,6,2008.2
270,1,6,2008.2
273,1,0,2010.1
276,1,6,2010.1
279,1,6,2010.1
282,1,1,2010.1
285,1,6,2010.1
288,1,6,2010.1
291,1,6,2010.1
294,1,6,2010.1
297,1,0,2010.1
300,1,2,2012.1
303,1,6,2009.2
306,1,6,2010.2
309,1,0,2009.1
312,1,6,2009.1
315,1,6,2009.1
318,1,4,2009.1
321,1,6,2009.1
324,1,3,2009.1
327,1,6,2009.1
330,1,6,2009.1
333,1,0,2012.2
336,1,0,2011.2
339,1,0,2011.2
342,1,6,2010.1
345,1,6,2010.1
348,1,0,2010.1
351,1,6,2010.1
354,1,6,2010.1
357,1,4,2010.1
360,1,0,2010.1
363,1,6,2010.1
366,1,6,2010.1
369,1,6,2010.1
372,1,0,2012.1
375,1,6,2009.2
378,1,6,2009.2
381,1,6,2007.2
384,1,6,2007.2
387,1,6,2003.2
390,1,3,2003.2
393,1,6,2003.2
396,1,6,2006.2
399,1,6,2006.2
402,1,5,2006.2
405,1,6,2004.2
408,1,6,2004.2
411,1,5,2004.2
414,1,6,2004.2
417,1,6,2004.2
420,1,6,2004.2
423,1,6,2004.2
426,1,6,2004.2
429,1,6,2004.2
432,1,6,2004.2
435,1,6,2004.2
438,1,6,2004.2
441,1,6,2004.2
444,1,6,2004.2
447,1,6,2004.2
450,1,6,2004.2
453,1,2,2004.2
456,1,6,2009.1
459,1,6,2009.1
462,1,3,2009.1
465,1,6,2009.1
468,1,6,2009.1
471,1,6,2009.1
474,1,0,2009.1
477,1,6,2009.1
480,1,4,2009.1
483,1,6,2010.2
486,1,5,2009.1
489,1,6,2009.1
492,1,6,2010.2
495,1,6,2010.2
498,1,6,2010.2
501,1,6,2010.2
504,1,6,2009.1
507,1,6,2009.1
510,1,4,2009.1
513,1,6,2007.1
516,1,4,2005.2
519,1,0,2005.2
522,1,6,2005.2
525,1,6,2005.2
528,1,6,2005.2
531,1,6,2005.2
534,1,6,2006.1
537,1,4,2005.2
540,1,6,2005.2
543,1,6,2005.2
546,1,6,2005.2
549,1,6,2005.2
552,1,6,2005.2
555,1,1,2005.2
558,1,0,2012.2
561,1,0,2012.2
564,1,0,2012.1
567,1,0,2012.1
570,1,0,2012.1
573,1,0,2012.1
576,1,0,2012.1
579,1,6,2003.1
582,1,6,2010.1
585,1,0,2010.1
588,1,6,2009.1
591,1,6,2009.1
594,1,6,2009.1
597,1,6,2007.1
600,1,6,2007.1
603,1,6,2007.1
606,1,6,2007.1
609,1,6,2007.1
612,1,6,2007.1
615,1,6,2007.1
618,1,5,2007.1
621,1,6,2007.1
624,1,6,2007.1
627,1,6,2007.1
630,1,6,2007.1
633,1,6,2007.1
636,1,6,2002.2
639,1,6,2002.2
642,1,6,2007.1
645,1,6,2006.2
648,1,6,2006.2
651,1,6,2006.2
654,1,0,2011.1
657,1,3,2011.1
660,1,6,2010.2
663,1,6,2010.2
666,1,6,2004.1
669,1,6,2004.1
672,1,6,2004.1
675,1,4,2004.1
678,1,6,2004.1
681,1,6,2004.1
684,1,6,2004.1
687,1,6,2004.1
690,1,6,2004.1
693,1,6,2004.1
696,1,6,2004.1
699,1,6,2004.1
702,1,0,2004.1
705,1,6,2004.1
708,1,6,2004.1
711,1,6,2004.1
714,1,5,2004.1
717,1,6,2004.1
720,1,6,2004.1
723,1,6,2004.1
726,1,6,2004.1
729,1,6,2004.1
732,1,6,2010.1
735,1,5,2010.1
738,1,6,2003.1
741,1,6,2009.2
744,1,6,2009.2
747,1,6,2009.2
750,1,0,2009.2
753,1,6,2009.2
756,1,6,2009.2
759,1,6,2009.2
762,1,6,2009.2
765,1,6,2007.1
768,1,6,2007.2
771,1,5,2007.2
774,1,6,2007.2
777,1,6,2007.2
780,1,6,2007.2
783,1,6,2007.2
786,1,6,2007.2
789,1,6,2007.2
792,1,6,2007.2
795,1,4,2007.2
798,1,6,2007.2
801,1,6,2007.2
804,1,6,2003.2
807,1,6,2003.2
810,1,6,2003.2
813,1,6,2003.2
816,1,6,2003.2
819,1,6,2003.2
822,1,6,2003.2
825,1,6,2003.2
828,1,6,2003.2
831,1,6,2003.2
834,1,6,2003.2
837,1,6,2003.2
840,1,0,2012.1
843,1,0,2011.1
846,1,5,2011.1
849,1,0,2011.1
852,1,3,2011.1
855,1,0,2012.1
858,1,6,2004.2
861,1,6,2008.2
864,1,6,2008.2
867,1,5,2008.2
870,1,6,2008.2
873,1,6,2008.2
876,1,0,2011.2
879,1,6,2007.1
882,1,6,2007.1
885,1,4,2007.1
888,1,6,2006.2
891,1,6,2006.2
894,1,4,2006.2
897,1,6,2006.2
900,1,6,2006.2
903,1,6,2006.2
906,1,6,2006.2
909,1,6,2006.2
912,1,6,2006.2
915,1,6,2006.2
918,1,4,2006.2
921,1,6,2006.2
924,1,5,2006.2
927,1,6,2006.2
930,1,3,2006.2
933,1,4,2006.2
936,1,0,2006.2
939,1,6,2006.2
942,1,6,2002.2
945,1,6,2002.2
948,1,6,2002.2
951,1,6,2002.2
954,1,6,2002.2
957,1,4,2002.2
960,1,6,2002.2
963,1,6,2002.2
966,1,6,2002.2
969,1,6,2002.2
972,1,6,2002.2
975,1,6,2002.2
978,1,6,2002.2
981,1,6,2005.1
984,1,6,2005.1
987,1,6,2005.1
990,1,6,2005.1
993,1,6,2005.1
996,1,6,2005.1
999,1,6,2005.1
1002,1,6,2005.1
1005,1,4,2005.1
1008,1,5,2005.1
1011,1,6,2005.1
1014,1,6,2005.1
1017,1,6,2005.1
1020,1,6,2005.1
1023,1,6,2005.1
1026,1,6,2005.1
1029,1,0,2011.1
1032,1,6,2005.1
1035,1,6,2008.1
1038,1,5,2008.1
1041,1,6,2008.1
1044,1,6,2006.1
1047,1,6,2006.1
1050,1,6,2006.1
1053,1,6,2006.1
1056,1,6,2006.1
1059,1,6,2006.1
1062,1,6,2006.1
1065,1,6,2006.1
1068,1,6,2006.1
1071,1,6,2006.1
1074,1,6,2006.1
1077,1,6,2006.2
1080,1,6,2006.1
1083,1,6,2006.1
1086,1,0,2006.1
1089,1,4,2006.1
1092,1,6,2006.1
1095,1,0,2006.1
1098,1,6,2006.1
1101,1,6,2006.1
1104,1,0,2006.1
1107,1,6,2006.1
1110,1,6,2006.1
1113,1,0,2011.2
1116,1,3,2008.2
1119,1,3,2008.2
1122,1,6,2008.2
1125,1,6,2008.2
3,2,0,2012.2
6,2,6,2003.2
9,2,0,2003.2
12,2,6,2003.2
15,2,6,2003.2
18,2,4,2003.2
21,2,0,2003.2
24,2,6,2003.2
27,2,5,2003.2
30,2,6,2003.2
33,2,6,2003.2
36,2,5,2003.2
39,2,6,2003.2
42,2,6,2003.2
45,2,6,2003.2
48,2,5,2003.2
51,2,6,2003.2
54,2,6,2003.2
57,2,6,2003.2
60,2,5,2003.2
63,2,6,2003.2
66,2,5,2003.2
69,2,6,2003.2
72,2,6,2003.2
75,2,2,2003.2
78,2,6,2003.2
81,2,4,2010.1
84,2,6,2010.1
87,2,6,2005.2
90,2,5,2006.1
93,2,6,2005.2
96,2,6,2005.2
99,2,5,2005.2
102,2,6,2005.2
105,2,6,2005.2
108,2,1,2008.2
111,2,7,2008.2
114,2,7,2008.2
117,2,6,2008.2
120,2,7,2008.2
123,2,7,2008.2
126,2,7,2008.2
129,2,7,2008.2
132,2,7,2008.2
135,2,7,2008.2
138,2,7,2008.2
141,2,7,2008.2
144,2,7,2008.2
147,2,7,2008.2
150,2,7,2008.2
153,2,7,2008.2
156,2,7,2008.2
159,2,7,2008.2
162,2,5,2008.2
165,2,4,2008.2
168,2,7,2008.2
171,2,7,2008.2
174,2,7,2008.2
177,2,7,2008.2
180,2,6,2002.2
183,2,6,2002.2
186,2,6,2002.2
189,2,6,2002.2
192,2,6,2002.2
195,2,6,2002.2
198,2,6,2002.2
201,2,6,2002.2
204,2,6,2002.2
207,2,6,2002.2
210,2,6,2002.2
213,2,6,2002.2
216,2,6,2002.2
219,2,6,2002.2
222,2,6,2002.2
225,2,5,2002.2
228,2,4,2009.2
231,2,4,2009.2
234,2,6,2006.1
237,2,6,2006.2
240,2,1,2006.2
243,2,0,2013.1
246,2,1,2012.1
249,2,1,2012.1
252,2,4,2009.1
255,2,7,2009.1
258,2,4,2009.1
261,2,7,2009.1
264,2,4,2009.1
267,2,7,2009.1
270,2,6,2009.1
273,2,0,2010.2
276,2,6,2010.2
279,2,6,2010.2
282,2,2,2010.2
285,2,6,2010.2
288,2,6,2010.2
291,2,6,2010.2
294,2,6,2010.2
297,2,0,2010.2
300,2,3,2012.2
303,2,6,2010.1
306,2,6,2011.1
309,2,0,2009.2
312,2,6,2009.2
315,2,6,2009.2
318,2,4,2009.2
321,2,6,2009.2
324,2,4,2009.2
327,2,6,2009.2
330,2,6,2009.2
333,2,1,2013.1
336,2,0,2012.1
339,2,1,2012.1
342,2,6,2010.2
345,2,6,2010.2
348,2,0,2010.2
351,2,2,2010.2
354,2,6,2010.2
357,2,5,2010.2
360,2,0,2010.2
363,2,6,2010.2
366,2,6,2010.2
369,2,6,2010.2
372,2,0,2012.2
375,2,4,2010.1
378,2,0,2010.1
381,2,5,2008.1
384,2,6,2008.1
387,2,5,2004.1
390,2,6,2004.1
393,2,1,2004.1
396,2,2,2007.1
399,2,6,2007.1
402,2,5,2007.1
405,2,2,2005.1
408,2,5,2005.1
411,2,1,2005.1
414,2,6,2005.1
417,2,0,2005.1
420,2,5,2005.1
423,2,5,2005.1
426,2,5,2005.1
429,2,5,2005.1
432,2,5,2005.1
435,2,4,2005.1
438,2,4,2005.1
441,2,5,2005.1
444,2,4,2005.1
447,2,6,2005.1
450,2,0,2005.1
453,2,3,2005.1
456,2,6,2009.2
459,2,4,2009.2
462,2,6,2009.2
465,2,6,2009.2
468,2,6,2009.2
471,2,4,2009.2
474,2,0,2009.2
477,2,4,2009.2
480,2,4,2009.2
483,2,6,2011.1
486,2,3,2009.2
489,2,4,2009.2
492,2,6,2011.1
495,2,6,2011.1
498,2,6,2011.1
501,2,6,2011.1
504,2,6,2009.2
507,2,6,2009.2
510,2,5,2010.1
513,2,3,2007.2
516,2,5,2006.1
519,2,2,2006.1
522,2,4,2006.1
525,2,6,2006.1
528,2,2,2006.1
531,2,6,2006.1
534,2,4,2006.2
537,2,4,2006.1
540,2,6,2006.1
543,2,5,2006.1
546,2,6,2006.1
549,2,6,2006.1
552,2,5,2006.1
555,2,2,2006.1
558,2,1,2013.1
561,2,0,2013.1
564,2,1,2012.2
567,2,1,2012.2
570,2,0,2012.2
573,2,1,2012.2
576,2,0,2012.2
579,2,6,2003.2
582,2,2,2010.2
585,2,1,2010.2
588,2,1,2009.2
591,2,4,2009.2
594,2,4,2009.2
597,2,6,2007.2
600,2,6,2007.2
603,2,6,2007.2
606,2,6,2007.2
609,2,5,2007.2
612,2,6,2007.2
615,2,6,2007.2
618,2,5,2007.2
621,2,6,2007.2
624,2,6,2007.2
627,2,6,2007.2
630,2,6,2007.2
633,2,6,2007.2
636,2,0,2003.1
639,2,6,2003.1
642,2,5,2007.2
645,2,6,2007.1
648,2,4,2007.1
651,2,6,2007.1
654,2,0,2011.2
657,2,5,2011.2
660,2,6,2011.1
663,2,6,2011.1
666,2,5,2004.2
669,2,4,2004.2
672,2,4,2004.2
675,2,4,2004.2
678,2,6,2004.2
681,2,6,2004.2
684,2,2,2004.2
687,2,6,2004.2
690,2,5,2004.2
693,2,5,2004.2
696,2,5,2004.2
699,2,5,2004.2
702,2,0,2004.2
705,2,5,2004.2
708,2,6,2004.2
711,2,6,2004.2
714,2,6,2004.2
717,2,5,2004.2
720,2,6,2004.2
723,2,5,2004.2
726,2,5,2004.2
729,2,5,2004.2
732,2,6,2010.2
735,2,5,2010.2
738,2,6,2003.2
741,2,4,2010.1
744,2,6,2010.1
747,2,6,2010.1
750,2,0,2010.1
753,2,6,2010.1
756,2,3,2010.1
759,2,6,2010.1
762,2,6,2010.1
765,2,6,2007.2
768,2,5,2008.1
771,2,6,2008.1
774,2,6,2008.1
777,2,6,2008.1
780,2,6,2008.1
783,2,5,2008.1
786,2,6,2008.1
789,2,3,2008.1
792,2,6,2008.1
795,2,6,2008.1
798,2,3,2008.1
801,2,6,2008.1
804,2,4,2004.1
807,2,5,2004.1
810,2,5,2004.1
813,2,5,2004.1
816,2,5,2004.1
819,2,4,2004.1
822,2,5,2004.1
825,2,2,2004.1
828,2,3,2004.1
831,2,5,2004.1
834,2,4,2004.1
837,2,5,2004.1
840,2,0,2012.2
843,2,0,2011.2
846,2,6,2011.2
849,2,0,2011.2
852,2,6,2011.2
855,2,0,2012.2
858,2,6,2005.1
861,2,7,2009.1
864,2,7,2009.1
867,2,7,2009.1
870,2,7,2009.1
873,2,7,2009.1
876,2,0,2012.1
879,2,5,2007.2
882,2,5,2007.2
885,2,6,2007.2
888,2,5,2007.1
891,2,6,2007.1
894,2,2,2007.1
897,2,6,2007.1
900,2,5,2007.1
903,2,6,2007.1
906,2,6,2007.1
909,2,6,2007.1
912,2,2,2007.1
915,2,5,2007.1
918,2,0,2007.1
921,2,6,2007.1
924,2,4,2007.1
927,2,5,2007.1
930,2,4,2007.1
933,2,3,2007.1
936,2,0,2007.1
939,2,6,2007.1
942,2,2,2003.1
945,2,6,2003.1
948,2,0,2003.1
951,2,6,2003.1
954,2,5,2003.1
957,2,5,2003.1
960,2,5,2003.1
963,2,6,2003.1
966,2,3,2003.1
969,2,2,2003.1
972,2,6,2003.1
975,2,0,2003.1
978,2,1,2003.1
981,2,6,2005.2
984,2,6,2005.2
987,2,6,2005.2
990,2,2,2005.2
993,2,6,2005.2
996,2,6,2005.2
999,2,6,2005.2
1002,2,5,2008.1
1005,2,4,2005.2
1008,2,5,2005.2
1011,2,5,2005.2
1014,2,6,2005.2
1017,2,6,2005.2
1020,2,6,2005.2
1023,2,5,2005.2
1026,2,6,2005.2
1029,2,0,2011.2
1032,2,2,2005.2
1035,2,7,2008.2
1038,2,6,2008.2
1041,2,7,2008.2
1044,2,6,2006.2
1047,2,6,2006.2
1050,2,6,2006.2
1053,2,6,2006.2
1056,2,6,2006.2
1059,2,5,2006.2
1062,2,5,2006.2
1065,2,6,2006.2
1068,2,6,2006.2
1071,2,5,2006.2
1074,2,6,2006.2
1077,2,6,2007.1
1080,2,5,2006.2
1083,2,6,2006.2
1086,2,0,2006.2
1089,2,2,2006.2
1092,2,5,2006.2
1095,2,0,2006.2
1098,2,6,2006.2
1101,2,6,2006.2
1104,2,0,2006.2
1107,2,5,2006.2
1110,2,6,2006.2
1113,2,0,2012.1
1116,2,6,2009.1
1119,2,3,2009.1
1122,2,3,2009.1
1125,2,3,2009.1
3,3,1,2013.1
6,3,6,2004.1
9,3,0,2004.1
12,3,6,2004.1
15,3,7,2004.1
18,3,4,2004.1
21,3,0,2004.1
24,3,5,2004.1
27,3,4,2004.1
30,3,7,2004.1
33,3,5,2005.1
36,3,4,2004.1
39,3,7,2004.1
42,3,6,2004.1
45,3,6,2004.1
48,3,4,2004.1
51,3,6,2004.1
54,3,6,2004.1
57,3,5,2004.1
60,3,0,2004.1
63,3,6,2004.1
66,3,4,2004.1
69,3,6,2004.1
72,3,6,2004.1
75,3,0,2004.1
78,3,6,2004.1
81,3,3,2010.2
84,3,6,2010.2
87,3,6,2006.1
90,3,4,2006.2
93,3,6,2006.1
96,3,6,2006.1
99,3,5,2006.1
102,3,6,2006.1
105,3,6,2006.1
108,3,2,2009.1
111,3,7,2009.1
114,3,6,2009.1
117,3,4,2009.1
120,3,7,2009.1
123,3,4,2009.1
126,3,6,2009.1
129,3,6,2009.1
132,3,7,2009.1
135,3,6,2009.1
138,3,7,2009.1
141,3,6,2009.1
144,3,6,2009.1
147,3,6,2009.1
150,3,6,2009.1
153,3,6,2009.1
156,3,7,2009.1
159,3,7,2009.1
162,3,4,2009.1
165,3,4,2009.1
168,3,7,2009.1
171,3,6,2009.1
174,3,6,2009.1
177,3,6,2009.1
180,3,6,2003.1
183,3,6,2003.1
186,3,6,2003.1
189,3,6,2003.1
192,3,6,2003.1
195,3,6,2003.1
198,3,4,2003.1
201,3,6,2003.1
204,3,6,2003.1
207,3,6,2003.1
210,3,6,2003.1
213,3,6,2003.1
216,3,6,2003.1
219,3,6,2003.1
222,3,6,2003.1
225,3,5,2003.1
228,3,4,2010.1
231,3,4,2010.1
234,3,3,2006.2
237,3,5,2007.1
240,3,0,2007.1
243,3,1,2013.2
246,3,2,2012.2
249,3,0,2012.2
252,3,4,2009.2
255,3,6,2009.2
258,3,4,2009.2
261,3,7,2009.2
264,3,4,2009.2
267,3,7,2009.2
270,3,7,2009.2
273,3,0,2011.1
276,3,7,2011.1
279,3,7,2011.1
282,3,2,2011.1
285,3,5,2011.1
288,3,6,2011.1
291,3,7,2011.1
294,3,7,2011.1
297,3,0,2011.1
300,3,3,2013.1
303,3,7,2010.2
306,3,5,2011.2
309,3,0,2010.1
312,3,4,2010.1
315,3,6,2010.1
318,3,3,2010.1
321,3,7,2010.1
324,3,3,2010.1
327,3,6,2010.1
330,3,7,2010.1
333,3,0,2013.2
336,3,0,2012.2
339,3,2,2012.2
342,3,7,2011.1
345,3,7,2011.1
348,3,1,2011.1
351,3,1,2011.1
354,3,7,2011.1
357,3,2,2011.1
360,3,0,2011.1
363,3,5,2011.1
366,3,7,2011.1
369,3,5,2011.1
372,3,2,2013.1
375,3,1,2010.2
378,3,0,2010.2
381,3,3,2008.2
384,3,5,2008.2
387,3,5,2004.2
390,3,3,2004.2
393,3,0,2004.2
396,3,0,2007.2
399,3,6,2007.2
402,3,6,2007.2
405,3,2,2005.2
408,3,4,2005.2
411,3,0,2005.2
414,3,4,2005.2
417,3,1,2006.1
420,3,4,2005.2
423,3,4,2005.2
426,3,5,2005.2
429,3,5,2005.2
432,3,4,2005.2
435,3,3,2005.2
438,3,4,2005.2
441,3,5,2005.2
444,3,4,2005.2
447,3,5,2005.2
450,3,0,2005.2
453,3,3,2005.2
456,3,6,2010.1
459,3,4,2010.1
462,3,3,2010.1
465,3,2,2010.1
468,3,6,2010.1
471,3,4,2010.1
474,3,3,2010.1
477,3,4,2010.1
480,3,5,2010.1
483,3,5,2011.2
486,3,6,2010.1
489,3,6,2010.1
492,3,6,2011.2
495,3,7,2011.2
498,3,4,2011.2
501,3,5,2011.2
504,3,7,2010.1
507,3,7,2010.1
510,3,6,2010.2
513,3,1,2008.1
516,3,6,2006.2
519,3,2,2006.2
522,3,3,2006.2
525,3,6,2006.2
528,3,1,2006.2
531,3,5,2006.2
534,3,3,2007.1
537,3,5,2006.2
540,3,5,2006.2
543,3,4,2006.2
546,3,6,2006.2
549,3,5,2006.2
552,3,3,2006.2
555,3,2,2006.2
558,3,0,2013.2
561,3,1,2013.2
564,3,0,2013.1
567,3,0,2013.1
570,3,1,2013.1
573,3,0,2013.1
576,3,0,2013.1
579,3,6,2004.1
582,3,5,2011.1
585,3,0,2011.1
588,3,0,2010.1
591,3,3,2010.1
594,3,3,2010.1
597,3,5,2008.1
600,3,7,2008.1
603,3,6,2008.1
606,3,5,2008.1
609,3,4,2008.1
612,3,4,2008.1
615,3,5,2008.1
618,3,5,2008.1
621,3,5,2008.1
624,3,5,2008.1
627,3,6,2008.1
630,3,6,2008.1
633,3,5,2008.1
636,3,0,2003.2
639,3,4,2003.2
642,3,4,2008.1
645,3,2,2007.2
648,3,4,2007.2
651,3,2,2007.2
654,3,0,2012.1
657,3,4,2012.1
660,3,4,2011.2
663,3,5,2011.2
666,3,5,2005.1
669,3,2,2005.1
672,3,4,2005.1
675,3,4,2005.1
678,3,6,2005.1
681,3,4,2005.1
684,3,0,2005.1
687,3,6,2005.1
690,3,5,2005.1
693,3,3,2005.1
696,3,5,2005.1
699,3,5,2005.1
702,3,2,2005.1
705,3,4,2005.1
708,3,1,2005.1
711,3,4,2005.1
714,3,6,2005.1
717,3,5,2005.1
720,3,4,2005.1
723,3,5,2005.1
726,3,1,2005.1
729,3,4,2005.1
732,3,7,2011.1
735,3,5,2011.1
738,3,7,2004.1
741,3,3,2010.2
744,3,5,2010.2
747,3,4,2010.2
750,3,1,2010.2
753,3,4,2010.2
